graph,procs,N,nnz,iterations,total_time,spmv_time,MTEPS,GFLOPS
graphs/graph1.txt,1,10,85,16,9.834e-06,2.988e-06,138.296,0.276591
graphs/graph1.txt,2,10,85,17,0.000115357,3.023e-06,12.5263,0.0250527
graphs/graph1.txt,4,10,85,18,0.000442215,2.605e-06,3.45986,0.00691971
graphs/graph1.txt,8,10,85,19,0.000620637,4.952e-06,2.60217,0.00520433
graphs/graph2.txt,1,100,992,11,2.0502e-05,1.475e-05,532.241,1.06448
graphs/graph2.txt,2,100,992,12,0.000114814,1.085e-05,103.681,0.207361
graphs/graph2.txt,4,100,992,12,0.000405684,5.126e-06,29.343,0.0586861
graphs/graph2.txt,8,100,992,13,0.000698442,7.124e-06,18.464,0.0369279
graphs/graph3.txt,1,1000,9989,11,0.000185976,0.000162099,590.824,1.18165
graphs/graph3.txt,2,1000,9989,12,0.000268144,7.8166e-05,447.028,0.894057
graphs/graph3.txt,4,1000,9989,12,0.000895027,3.6717e-05,133.927,0.267853
graphs/graph3.txt,8,1000,9989,13,0.00174239,2.1369e-05,74.528,0.149056
graphs/graph4.txt,1,10000,99989,11,0.00236851,0.00202565,464.376,0.928752
graphs/graph4.txt,2,10000,99989,39,0.00587187,0.00357204,664.111,1.32822
graphs/graph4.txt,4,10000,99989,51,0.00920881,0.00226199,553.756,1.10751
graphs/graph4.txt,8,10000,99989,61,0.0138071,0.00147779,441.755,0.883509
graphs/graph5.txt,1,100000,999992,11,0.0320524,0.0292369,343.185,0.68637
graphs/graph5.txt,2,100000,999992,26,0.0483146,0.0365189,538.135,1.07627
graphs/graph5.txt,4,100000,999992,37,0.0576194,0.0231667,642.14,1.28428
graphs/graph5.txt,8,100000,999992,46,0.0774412,0.0140346,593.995,1.18799
